model,train_accuracy,test_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,macro_roc_auc_ovr,fit_seconds
Histogram Gradient Boosting,0.929215974021919,0.9156987635818659,0.9157898247061508,0.9065368470689452,0.9108996130161856,0.9157110552110256,0.9156987635818659,0.9154399575215749,0.944047045977321,2.1658430420793593
RBF Support Vector Machine,0.917038748555906,0.8995878606219558,0.9036106114495114,0.8868514597229123,0.8944333440642938,0.9002805121073287,0.8995878606219558,0.8991344248244676,0.9420065624601978,57.389546583988704
Random Forest,1.0,0.8949669039590359,0.8996583299719608,0.881411067442655,0.8895846791719597,0.8958172306400829,0.8949669039590359,0.8944427114288207,0.9411530673687615,6.4449913339922205
Decision Tree,1.0,0.8362682652678906,0.8262315858766008,0.8277983184652878,0.8269968913153308,0.8365310738511709,0.8362682652678906,0.8363829260654847,0.8710659392094361,0.33348591695539653
Logistic Regression (Baseline),0.8248040715646173,0.8192831272636443,0.8265109925069513,0.801464647853622,0.8119702278964961,0.8205231453915381,0.8192831272636443,0.8179080630133687,0.9129688834335911,0.19467016600538045
K-Nearest Neighbours,0.839978767914572,0.7509679030848008,0.7590658159533964,0.7311374288724939,0.7421666059654942,0.7526799468955971,0.7509679030848008,0.748987188605688,0.8747951262803587,0.13332579203415662
