model,train_accuracy,test_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,macro_roc_auc_ovr,fit_seconds,cv_macro_f1,test_macro_f1
Random Forest,1.0,0.9164481079055826,0.9160770695923676,0.9076553871204419,0.9116327705667251,0.9164423245347593,0.9164481079055826,0.9162138787487663,0.943920334268226,16.158505374914967,0.9153280261880296,0.9116327705667251
Histogram Gradient Boosting,0.9300590127080276,0.9150743099787686,0.9151671068204056,0.9059557853638133,0.9102894186746348,0.9151126275623551,0.9150743099787686,0.914823004988176,0.9445198606553818,5.402334708021954,0.9134070620885405,0.9102894186746348
Decision Tree,0.9130421207106504,0.8998376420631947,0.8992213065611887,0.8913149979223821,0.8950744686497504,0.8998072110678776,0.8998376420631947,0.8996267396346641,0.9370031001768356,0.292886707931757,0.8977492288990854,0.8950744686497504
RBF Support Vector Machine,0.917038748555906,0.8995878606219558,0.9036106114495114,0.8868514597229123,0.8944333440642938,0.9002805121073287,0.8995878606219558,0.8991344248244676,0.9420065624601978,56.426012499956414,0.8952436582339311,0.8944333440642938
Logistic Regression (Baseline),0.8249601898398227,0.8192831272636443,0.826706158711782,0.8013143184281554,0.8119623534184209,0.8206107853486746,0.8192831272636443,0.817919831605738,0.9129419687674867,0.19412687502335757,0.8181826855254822,0.8119623534184209
K-Nearest Neighbours,0.8329846691853748,0.8130385912326714,0.8486991022409653,0.7759903557315897,0.7987978555120702,0.828272550205877,0.8130385912326714,0.8079784874153313,0.9173910972179457,0.1268980000168085,0.7983548466182981,0.7987978555120702
